ID,NameNoAuthors,LongitudeDecimal,LatitudeDecimal
440,Bikinia pellegrinii,11.86666,0.56666
444,Baissea ochrantha,10.41667,3.08333
445,Memecylon collinum,11.66666,-0.25
446,Neostenanthera robsonii,11.6666667,-0.25
448,Neochevalierodendron stephanii,11.66666,-0.25
449,Gilbertiodendron grandistipulatum,11.66666,-0.25
451,Chrysophyllum ogoouense,11.66666,-0.25
452,Phragmanthera longiflora,11.66666,-0.25
453,Microdesmis afrodecandra,11.66666,-0.25
454,Chrysophyllum ogoouense,11.66666,-0.25
456,Gilbertiodendron grandistipulatum,11.66666,-0.25
457,Gilbertiodendron grandistipulatum,11.66666,-0.25
459,Augouardia letestui,11.66666,-0.25
460,Pseudoprosopis gilletii,11.66666,-0.25
461,Tapura bouquetiana,11.66666,-0.25
463,Bikinia coriacea,11.95,-0.83333
466,Pauridiantha mayumbensis,11.9,-0.81666
467,Calpocalyx ngouniensis,12.23333,-0.26666
470,Englerodendron gabunense,11.9,-0.7
471,Rinorea campoensis,11.9,-0.7
472,Zeyherella mayumbensis,11.9,-0.7
473,Gilletiodendron pierreanum,11.9,-0.8
474,Bikinia durandii,11.9,-0.8
476,Gilbertiodendron breynei,11.96666,-0.83333
477,Gilbertiodendron breynei,11.96666,-0.83333
478,Daniellia pilosa,11.96666,-0.83333
480,Globimetula mayombensis,12.03333,-0.5
481,Rinorea campoensis,12.03333,-0.5
482,Corynanthe mayumbensis,12.03333,-0.5
483,Tulestea tomentosa,12.03333,-0.5
484,Rhabdophyllum letestui,11.96666,-0.83333
486,Aubletiana macrostachys,10.88333,-1.23333
487,Aubletiana macrostachys,11.55,-0.5
491,Gilletiodendron pierreanum,13.05,-0.76666
493,Hymenostegia elegans,13.05,-0.76666
494,Hunteria ballayi,13.05,-0.76666
495,Napoleonaea cuneata,13.13333,-0.81666
497,Hunteria ballayi,13.05,-0.76666
498,Gilbertiodendron ecoukense,13.05,-0.7666667
499,Napoleonaea cuneata,13.05,-0.76666
500,Gilletiodendron pierreanum,13.05,-0.76666
501,Julbernardia brieyi,13.13333,-0.81666
502,Corynanthe mayumbensis,13.13333,-0.81666
504,Sorindeia gabonensis,13.13333,-0.81666
505,Hymenostegia elegans,13.05,-0.76666
506,Oddoniodendron micranthum,13.05,-0.76666
507,Napoleonaea cuneata,13,-0.76666
508,Napoleonaea cuneata,13,-0.76666
510,Albertisia porcata,13.05,-0.76666
512,Combretum wilksii,13.7,-0.6
513,Gilletiodendron pierreanum,13,-0.76666
706,Anonidium floribundum,11.0333,-1.21667
520,Sindora klaineana,9.73333,-2.5
521,Librevillea klainei,9.73333,-2.5
522,Gilbertiodendron unijugum,9.73333,-2.5
525,Calpocalyx heitzii,9.73333,-2.5
526,Rhodognaphalon lukayense,9.73333,-2.5
528,Microberlinia brazzavillensis,9.73333,-2.5
530,Microberlinia brazzavillensis,9.73333,-2.5
531,Librevillea klainei,9.73333,-2.5
533,Corynanthe mayumbensis,10.5,-2.91666
534,Aoranthe annulata,10.5,-2.91666
535,Sericanthe petitii,10.5,-2.68333
536,Calpocalyx brevifolius,10.5,-2.68333
537,Begonia komoensis,10.5,-2.6833333
538,Gabonius ngouniensis,10.5,-2.68333
539,Pauridiantha pleiantha,10.5,-2.68333
540,Sericanthe petitii,10.5,-2.68333
543,Rinorea zanagensis,10.5,-2.68333
551,Oddoniodendron normandii,12.33333,0.43333
556,Stereospermum zenkeri,11.509965,3.862902
557,Begonia anisosepala,10.4167,3.08333
563,Hunteria ballayi,15.75,2.36666
564,Motandra poecilophylla,12.3667,3.01667
565,Landolphia noctiflora,11.7,0.1
566,Cuviera cuvieroides,12.8113889,3.1905555
569,Tetrorchidium gabonense,10.38333,0.6
570,Thyrsosalacia viciflora,12.7,-0.81666
571,Dactyladenia floretii,9.93333,-2.7
572,Dactyladenia jongkindii,10.75,-0.08333
574,Julbernardia brieyi,11.6167,-0.1166
575,Salacia callensii,11.6167,-0.1166
576,Neochevalierodendron stephanii,11.6167,-0.1166
577,Laccodiscus klaineanus,11.6167,-0.1166
578,Julbernardia brieyi,11.6167,-0.1166
580,Tetraberlinia polyphylla,11.6167,-0.1166
582,Chrysophyllum ogoouense,11.66666,-0.25
583,Chrysophyllum ogoouense,11.66666,-0.25
584,Begonia clypeifolia,10.35,0.61666
594,Begonia clypeifolia,10.35,0.6166667
597,Rhabdophyllum letestui,12.866667,0.566667
598,Pseudoprosopis gilletii,12.866667,0.566667
599,Pseudoprosopis gilletii,12.866667,0.566667
600,Dacryodes normandii,12.866667,0.566667
603,Dacryodes buettneri,12.866667,0.566667
606,Macaranga gabunica,11.58222,-0.18055
609,Macaranga gabunica,10.40083,0.61555
610,Mapania pubisquama,10.40083,0.61555
611,Maesobotrya oligantha,10.37611,0.63416
784,Rauvolfia letouzeyi,9.88333,-1.91666
992,Tetrorchidium gabonense,10.4,0.6
993,Dicranolepis pusilla,11.92,-4.18
994,Baphia cymosa,10.2167,-0.683333
996,Librevillea klainei,9.33333,0.566667
1002,Librevillea klainei,9.3333333,0.6166667
1003,Dacryodes letestui,9.91666,-1.9
1004,Bikinia pellegrinii,9.91666,-1.9
613,Phyllocosmus congolensis,11.5925,-0.10055
614,Aucoumea klaineana,11.71583,-0.12
620,Sorindeia gabonensis,13,-0.66666
622,Dactyladenia ndjoleensis,10.75,-0.08333
623,Pseudocalyx pasquierorum,13,-0.83333
624,Dichapetalum gassitae,11.91666,-0.28333
625,Tristemma vestitum,9.9525,0.88777
628,Anthonotha stipulacea,10.01388,0.85805
630,Fegimanra africana,11.00694,-3.71638
